Title,Framework,Hook Score,Why
"Worst Punishments Throughout Human History","Worst (Entities) Throughout (Category) History","+1245","Negativity – People love hearing about scary things like the worst punishments. Extreme & Epic – “Worst” makes this feel extreme (it’s not about just “Really Bad Punishments”) and “Throughout Human History” makes this feel epic."
"What I learned approaching 1000 women in 1000 days","What I learned (Activity for a large number of times) in (Time Frame)","+17919","Desire – This creator’s audience wants to learn more about talking to women. Credibility – This isn’t just him preaching about how to talk to girls, he’s sharing lessons he learned by actually getting out there and talking to girls. Time Frame – The time frame of 1000 days makes this video feel more tangible, real, and interesting."
"7 Beginner Raised Bed Garden Mistakes to Avoid","7 Beginner (Entity) Mistakes to Avoid","+1034","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Mistakes make for great video topics because we all want to avoid them. Beginner – Calling out beginners makes beginners feel like this video was made for them. This works so well because beginners are the biggest group in any audience and they’re the hungriest to learn."
"The ONE Sign Someone Is Trained to Fight","The ONE Sign (Something Scary is True)","+1400","Curiosity – This opens a loop and makes you wonder what the one sign is. I think the fact that this is only about one sign intensifies the curiosity (as opposed to 5-10 signs). Plus, it makes this video less intimidating to click on and watch because you just wanna know what the one sign is. Negativity – There’s an undertone of fear here because nobody wants to accidentally fight somebody trained to fight."
"OUTWORK everyone by being bored","(Activity) by being (Unexpected or Opposite Activity)","+1509","Curiosity – This is counterintuitive. How can you outwork everyone by being bored? Desire – This creator’s audience wants to outwork everyone (and they probably don’t want to work that hard — they’d rather be bored)."
"6 TRIPOD Shots that make EVERYTHING CINEMATIC!","6 (Easy Things) that make EVERYTHING (Hard, Desirable Goal)!","+4344","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This leverages desire two ways: 1) This creator’s audience wants to make cinematic videos. 2) Tripod shots are easier than other, more complicated, shots that you would expect to have to take if you want cinematic videos. Curiosity – The contrast between “tripod shots” (easy) and “cinematic” (a more complicated goal) builds curiosity."
"Here Are 10 SUVs you MUST AVOID!","Here Are 10 (Entities) you MUST AVOID!","+398","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Warnings like this make for great video topics because people don’t want to buy something bad accidentally. Curiosity – The combo of a warning and a list builds a ton of curiosity because you want to know what’s on the list."
"How To Dress Like A RICH WOMAN | Rich Mom Outfits","How To (Activity) Like A (Person You Wanna Be Like)","+1719","Desire – This is an awesome example of knowing your audience. This title could’ve been, “How To Dress Better,” which technically gets the same point across, but speaks less to the deep, specific, tangible desire of this audience. Authority – This creator’s audience wants to dress like rich women."
"Insulated Tent Inside Insulated Tent | Bitter Cold Winter Camping","(Entity) Inside (Same Entity)","+2164","Curiosity – This builds curiosity because you don’t expect it, and you probably haven’t seen anyone else do it, but it also kinda makes a lot of sense."
"I NEVER Felt Like Reading The Bible (How I Changed)","I NEVER Felt Like [Doing Something You Should Do] (How I Changed)","+2506","Negativity – This does a great job at relating to and describing a problem this audience struggles with. Desire – This creator’s audience wants to change and start reading the bible more."
"The WORST THINGS about living in Baltimore will surprise YOU!","The WORST THINGS about (Thing Your Audience Wants To Do) will surprise YOU!","+621","Negativity – We love hearing about the worst things about something we’re considering doing because we don’t want to make a mistake and do something we’d regret. Curiosity – “will surprise you” implies that you’re gonna learn a secret or something unexpected in this video."
"How The Crips Gang Actually Works | How Crime Works | Insider","How (Big, Scary Thing) Actually Works","+749","Negativity – People love scary things, like gangs. Curiosity – “Actually” implies you didn’t really know before, but now you’re finally going to learn the truth. Familiar, Yet Unknown – Everybody knows who the Crips are, but most people don’t know anything about them, which makes for a great, curiosity-filled topic."
"It’s actually pretty easy to get ahead of 99% of people.","It’s actually pretty easy to (Achieve Goal Better Than) 99% of people.","+1518","Desire – This creator’s audience wants to get ahead of 99% of people. Curiosity – It’s hard to get ahead of 99% of people, so this title is counterintuitive. It makes you think, “Am I missing something?” Confidence – The casual nature of this title and the bold statement that something really hard is easy gives off a feeling of confidence that is intoxicating."
"Be Extremely Careful When Peeling The Sticker Of Any Fruit","Be Extremely Careful When (Doing Common or Simple Innocent Thing)","+1566","Negativity – Warnings like this do a great job of grabbing people’s attention and getting them to click. Curiosity – This is counterintuitive because peeling the sticker of of fruits seems like a simple, innocent thing, so why would you need to be extremely careful?"
"The (Overdue) Collapse of the 9-5 Job","The ([Dramatic Description]) Collapse of the [Current Thing]","+452","Negativity – There’s a lot of drama and negativity in this title, which grabs people’s attention and makes it interesting. Confirm Suspicions – Many people these days have been feeling like a regular 9-5 just isn’t working anymore, so this title confirms that suspicion. Curiosity – “(Overdue)” adds a twist and bit of tension to this title, which makes it more interesting."
"12 Things NOT to do in Paris (by a Local)!","12 Things NOT to do in [Entity] (by a [Person with Credibility])!","+862","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Telling people what NOT to do grabs people’s attention because it’s a warning and we’re scared of something bad happening if we accidentally do those things."
"10 Year Gaming Setup Progression…","10 Year (Entity) Progression…","+4390","Time Frame – “10 Year” makes this video more interesting because it increases the magnitude of this change and even hints that you’re gonna get some nostalgia. Desire – This creator’s audience loves gaming setups."
"Strong Legs For Seniors (The ONLY Leg Workout You Need!) 65+","[Benefit] For [Specific Audience] (The ONLY [Activity] You Need!) [Specific Audience]","+6123","Desire – This creator’s audience wants stronger legs. Specific Audience – By calling out seniors and 65+, that group of people feels like this video was made just for them, so they’re more likely to click. Curiosity – This builds curiosity two ways: 1) “The ONLY” adds a constraint which makes this more interesting. 2) It opens a loop and makes you wonder what this leg workout is."
"How I learned to draw better faces in a week","How I learned to (Achieve Goal) in a week","+446","Desire – This creator’s audience wants to get better at drawing faces. Time Frame – We all want to achieve our goals faster and “in a week” promises this video will do that."
"“What’s Coming Is WORSE Than A Recession” — Jim Rickards’ Last WARNING","“What’s Coming Is WORSE Than A (Known Bad Event)” — (Authority Figure’s) Last WARNING","+480","Negativity – Warnings do a great job of grabbing people’s attention and getting them to click. Curiosity – This builds curiosity because it opens a loop and makes you wonder what’s coming. Anchoring – We all know what a recession is, so saying “What’s Coming Is WORSE Than A Recession” makes this feel more tangible and scary. Authority – Although I don’t think this is as strong as the curiosity and negativity, Jim Rickards’s name brings some credibility and authority here. Urgency – “Last Warning” brings some urgency to this video."
"The SCAM Bagged Soil Companies Don’t Want You To Know","The SCAM (Entity or Authority) Doesn’t Want You To Know","+2162","Negativity – “SCAM” does a great job of instilling fear and getting the audience’s attention and interest (we all love hearing about a juicy scam). Curiosity – This builds curiosity two ways: 1) “Don’t Want You To Know” makes you feel like you’re getting in on a secret. 2) It opens a loop and makes you want to know what the scam is. Authority – “Bagged Soil Companies” gives this title rebellious “stick it to the man” vibes."
"5 Things Successful People Do Before 8AM","5 Things (Aspirational Group) Do Before (Time or Event)","+2440","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience wants to be successful. Plus, our culture is obsessed with morning routines. Authority – This title is more interesting because it’s about what “successful people” do. Time Frame – Consider “5 Things Successful People Do” vs. “5 Things Successful People Do Before 8AM”. The second is more interesting, right? “Before 8AM” makes this video feel more tangible and, therefore, more interesting."
"Where Do NYC Cab Drivers Eat?","Where Do (People With Credibility) (Activity)?","+317","Credibility – NYC Cab Drivers have lots of credibility when it comes to living in NYC, so where they eat makes you feel like you’re learning where the real locals eat. Desire – This channel’s audience wants to know where local New Yorkers eat. Curiosity – This title builds curiosity by asking a question."
"What Is Out of Style in 2024 and What to Wear Instead","What Is (Unpopular) in (Current Year) and What to (Activity) Instead","+391","Negativity – Nobody wants to wear out-of-style clothes, so this title leverages that fear. Timeliness – This video was published at the beginning of 2024 when people were considering what was in style"
"The mindset that changed my life IMMEDIATELY","The (Entity) that (Achieved Goal) IMMEDIATELY","+1111","Desire – This leverages desire two ways: 1) Many people want to change their life. 2) Speed is important to everybody, so “IMMEDIATELY” increases the desire here. Curiosity – This opens a loop and makes you wonder what this mindset is."
"The Most Terrifying Man of the Vietnam War","The Most Terrifying (Entity) of the (Event)","+2435","Extreme – Telling stories about extreme things, like “The Most Terrifying Man,” often make an interesting video. Negativity – People love dramatic and terrifying stories like this. Curiosity – The man’s face in the thumbnail looks pretty innocent, so the contrast between his innocent-looking face and the title builds lots of interest and curiosity."
"5 Perennials to Plant Once that will Feed You Forever…","5 (Entities) to (Activity) Once that will (Benefit) You Forever…","+373","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This title promises a lot for a little: plant once, and get food forever."
"NBA Legends Explain Why It’s So Hard To Guard Stephen Curry At 35","(Authority Figures) Explain Why It’s So Hard To (Action)","+957","Authority – The video is more credible and interesting because it’s “NBA Legends” explaining why it’s so hard to guard Steph, not some random YouTuber’s opinion. Curiosity – There’s a bit of counterintuitiveness here because you might assume that at 35, Steph is easier to guard, but that’s not the case. Despite his age, he had a very good year this year."
"Why I stopped using Procreate","Why I stopped using (Popular Tool)","+1324","Negativity – Telling people you stopped doing something grabs people’s attention because there’s a bit of fear that if you are using Procreate, you’re doing something wrong. Authority – Procreate is one of the most popular animation tools, so stopping using it grabs people’s attention. Curiosity – There’s a bit of counterintuitiveness here because this is such a popular tool. Why would you stop using it?"
"Nobody Wanted this Hutch  I had an idea…","Nobody Wanted this (Object) I had an idea…","+2066","Curiosity – This title makes you wonder what will happen to this hutch. Negativity – “Nobody Wanted this Hutch” adds conflict and sets this video up for a great story."
"Why These Popular “Christian” Worship Artists Left Christianity","Why These Popular “(Group Members)” Left (Group)","+482","Negativity – Leaving something you’re known for supporting brings a lot of drama. Curiosity – This title builds curiosity two ways: It’s counterintuitive for Christian Worship Artists (people you’d assume would be strong in their faith) to leave Christianity.



It makes you wonder why these people left Christianity. Authority – “‘Christian’ Worship Artists” are influential in the Christian community, so them leaving grabs extra attention."
"Ghost Warriors: The German Tribes That Hunted Romans | Ancient Black Ops | Odyssey","(Epic Group of People): The (Entity) That (Aggressive Action) (Other Entity)","+518","Simple Language – This title is easy to read and uses simple language. And even if you don’t know who the “Ghost Warriors” are, this still sounds cool. Negativity – There’s fear, drama, and conflict here with “Hunted Romans” and “Ancient Black Ops”."
"Horrible YouTube Advice that’s KILLING Small Channels","Horrible (Niche) Advice that’s KILLING (Beginners)","+524","Negativity – “Horrible YouTube Advice” grabs your attention because it’s so negative, and when you read this title you get a little fear because you wonder if you’ve taken some advice that might be killing your channel. Curiosity – This makes you wonder what the advice is. Beginners – By calling out “Small Channels” this title appeals to a big, but specific audience and makes them feel like this video was made specifically for them."
"9 Things Smart Men Should Not Do With Women | Stoicism","9 Things Smart (Specific Audience) Should Not Do With (Entity)","+23965","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – This warning grabs the audience’s attention and gets them to click."
"I Played GTA With Real Pain","I (Activity) (Entity) With Real (Negative Consequence)","+486","Negativity – People love drama and conflict and playing a game with real pain brings both of these while raising the stakes."
"I Ranked San Francisco’s BEST Neighborhoods (Tier List)","I Ranked [Entity’s] BEST [Possession] (Tier List)","+500","Desire – People love tier lists and this creator’s audience is into San Franscisco’s best Neighborhoods."
"Lamborghini’s NEW Active Alignment is Revolutionary!","(Entity’s) NEW (Invention) is Revolutionary!","+592","Timeliness – People love news and new things and this feels like both. Desire – This creator’s audience is into all things fast cars."
"How to AVOID Getting ROBBED by PICKPOCKETS","How to AVOID (Big, Common Fear)","+608","Negativity – This title is all about the audience avoiding one of their biggest, most common fears."
"The BEST A.I. Passive Income Side Hustle 2024","The BEST (Trending Activity To Achieve Goal) (Current Year)","+449","Desire – This creator’s audience would love a passive income side hustle. Timeliness – This title uses timeliness two ways: It was published in the beginning of 2024, so dropping “2024” in the title grabs the audience’s attention.



It includes all the trending buzzwords: A.I., Passive Income, and Side Hustle. I also love that this title is a bold and extreme statement — The BEST Side Hustle."
"Notion’s New Calendar App is a Game-Changer","(Company)’s New (Tool) is a Game-Changer","+456","Timeliness – People love new things. Curiosity – “Game-Changer” works so well because it adds to the desire, but it’s vague, so it makes you want to know what’s so cool about the app."
"50 Easy Habits That Will Change Your Life Forever","50 (Desirable) Habits That Will Change Your Life Forever","+595","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience (and most people, really) would love to change their life forever. “Easy” in the title and “Tiny” in the thumbnail also add to the desire because it makes these habits seem easy. Curiosity – “Change Your Life Forever” (like Game-Changer above) adds to the desire, but is open-ended, so it let’s your mind run wild with whatever you want, while also wondering what he’ll talk about in the video. Habits – “Habits” is one of the most frequent words I see in successful YouTube titles."
"How Much Can I Expect To Spend In Retirement with a $2 Million Portfolio?","How Much Can I Expect To (Activity) In (Specific Situation) with (Asset)?","+609","Curiosity – This builds curiosity by asking a question many people in this creator’s audience are asking themselves. Specific Audience – If somebody has a $2 Million Retirement Portfolio (or it’s their goal — which is probably more likely), they’re way more likely to click this video than just a generic “How How Much Can I Expect To Spend In Retirement?” video."
"The Most Ridiculous Fake Minecraft Speedruns EVER","The Most Ridiculous Fake (Entities) EVER","+306","Curiosity – “Fake” makes this video intriguing. Extreme – “Most Ridiculous Fake Minecraft Speedruns EVER” grabs your attention more than, say, “Pretty Ridiculous Fake Minecraft Speedruns”"
"I bought an abandoned home.. want a tour?","I bought an abandoned (Entity).. want a tour?","+358","Negativity – Abandoned homes are creepy, so title brings a little bit of fear here. Curiosity – This does a great job of starting a story and leaving you wanting to know more because it’s counterintuitive to buy an abandoned home instead of a nice ho Milestone – Milestones, like buying a home, often make for great videos."
"This New Camera Turns EVERYTHING Into A Movie","This New (Tool) Turns EVERYTHING Into (Cool End Result)","+582","Desire – This creator’s audience likes new cameras and they want to make videos that look like movies. Curiosity – This builds curiosity by not telling you what the camera is. Timeliness – People love new things."
"My Worst Mistakes Learning Japanese (7 Years to JLPT N1)","My Worst Mistakes Learning [Activity] ([Time Frame] to [Achievement])","+5666","Negativity – Nobody wants to make mistakes, so this title grabs the audience’s attention. Authority – This creator casually shows he’s an expert by dropping “JLPT N1” in the title (this is the highest level of the Japanese-Language Proficiency Test). Time Frame – “7 Years” shows you how long and hard he’s worked at learning Japanese, which builds trust and credibility."
"He was the League’s Best Hitter. Then He Disappeared From Baseball.","He was the (Best Achiever). Then He Disappeared From (Entity).","+421","Curiosity – This title builds curiosity two ways: 1) It’s counterintuitive that the league’s best hitter would disappear from baseball. 2) This does a great job at starting a story, but not finishing it. Why did he disappear from baseball? Negativity – Disappearing from baseball brings a bit of drama to this title. Authority – “League’s Best Hitter” grabs the audience’s attention."
"Your Heartbreak Will Get Better the Moment You Watch This","Your (Problem) Will Get Better the Moment You Watch This","+477","Desire – This creator’s audience wants their heartbreak to get better fast, and this title promises exactly that. Negativity – This is all about a big problem the audience faces: heartbreak."
"What Happens if You SURFACE LAY Potatoes Instead of BURY?","What Happens if You (Unexpected Action) Instead of (Expected Action)?","+593","Curiosity – This builds curiosity because it’s counterintuitive to lay potatoes on top of the soil instead of burying them in it."
"I tried this mind-blowing ancient Japanese technique","I tried this mind-blowing ancient (Culture) technique","+12537","Authority – “Ancient Japanese” grabs the audience’s attention and builds trust that this is a cool and effective technique. Curiosity – This opens a loop because it makes you wonder what the technique is and how the creator went from dirt on the left side of the thumbnail to the smooth, round ball on the right. Epic – “Mind-blowing” and “ancient Japanese” make this title feel epic."
"World’s Fastest Camera Drone Vs F1 Car (ft. Max Verstappen)","World’s (Extreme Attribute) (Object) Vs (Standard of Attribute)","+535","Desire – This channel’s audience loves speed. Extreme – People love extreme things, like “World’s Fastest Camera Drone”. Curiosity – Pitting two things against each other builds curiosity because you want to know which will win. Authority – Dropping Max Verstappen’s name (the current F1 champion) grabs the audience’s attention and lets them know this isn’t just any F1 driver in this video, it’s the best."
"Why “Shot On iPhone” Commercials Look So Good! Ft. Claudio Miranda","Why (Surprising Thing Happens)","+709","Curiosity – This title promises to answer a question that so many people have asked themselves. Desire – This creator’s audience wants to make better-looking videos."
"3 STYLE TIPS TO AVOID LOOKING OLDER AND OUTDATED OVER 50","3 (Niche) Tips To Avoid (Unwanted Attribute) (Specific Audience)","+1968","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – This title is all about avoiding pain, rather than getting pleasure. Specific Audience – This specifically calls out people over 50, which makes people over 50 feel like this video was made for them (which makes them more likely to click)."
"The Only Way To Brace A Gate","The Only Way To (Activity or Achieve Goal)","+16867","Curiosity – This title builds curiosity two ways: 1) It opens a loop because it makes you want to know which way is the only way. 2) “The Only Way” adds a constraint that makes this video more bold and interesting. Desire – This creator’s audience wants to learn how to brace a gate."
"Fastest Way to $10,000 a Month with Coding in 2024","Fastest Way to (Specific Goal) with (Opportunity) in (Current Year)","+414","Desire – Not only does this creator’s audience wants to make $10,000/month, but they’d also love to do it the fastest way. People love speed. Timeliness – This video was published in January of 2024, when everybody was feeling excited and hopeful about the new year. Dropping “in 2024” at the end of the title grabs people’s attention and lets them know this is relevant right now."
"I Should NOT Have Done This!","I Should NOT Have (Activity) This!","+448","Curiosity – This title and thumbnail open a loop because they make you want to know how he got himself in this predicament (and how he’s gonna get himself out). Negativity – People love drama and this title and thumbnail have a lot of it. I typically like to be a bit more descriptive in my titles (you don’t need “keywords”, but you do need to tell your audience what your video is about). However, the thumbnail is so descriptive and drama-filled that it gets the job done."
"Why Tolkien Hated Disney","Why (Authority Figure) Hated (Other Authority Figure)","+1155","Negativity – This title promises a lot of drama. Authority – This gets the audience’s attention and is more interesting because it’s about J. R. R. Tolkien and Walt Disney, two of the biggest names in entertainment. Curiosity – Since these are two of the biggest names in entertainment, you would probably assume that they would have a mutual respect for one another, but this title says otherwise."
"Carnivore Dieters: This Cut of Meat Will Save You Lots Of Money","(Specific Group): This (Object) Will (Help You Achieve Goal)","+2330","Specific Audience – This grabs the attention of a specific group of people (carnivore dieters) and makes them more likely to click. Desire – Most people would love to save lots of money. Curiosity – This title opens a loop because it makes you want to know what cut of meat this is. Timeliness – This title rides the growing trend of carnivore diets. Here’s an interesting screenshot that shows keto diet and carnivore diet actually get the same number of searches these days:"
"What Your Favorite Exotic PRIMARY Says About YOU (Destiny 2)","What Your Favorite (Tool) Says About YOU","+356","Desire – Everybody likes to learn about themselves and this video is a fun way to do that. Negativity – The thumbnail grabs attention with a bold, negative statement."
"Jacksonville’s FASTEST Selling Master Planned Community [eTown Jacksonville Fl]","(Entity’s) (Extreme Action) (Possession)","+475","Desire – This creator’s audience is looking for good, fast-selling communities to live in in Jacksonville. Extreme – Taking things to the extreme (ex: “FASTEST Selling”) is a cool, interesting way to say these houses are selling fast and this is a good neighborhood."
"What the heck happened to the RV industry?","What the heck happened to the (Niche) industry?","+542","Curiosity – This builds curiosity by asking a question. Negativity – People love drama and conflict, and this simple question brings a lot of that. Confirms Suspicions – This works so well because people are already suspicious of the RV industry."
"The 5 Phases of Minimalism","The 5 Phases of (Journey)","+719","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience loves learning and talking about minimalism."
"I made $3,995/Week with Basic Canva Clip Art – Here’s How","I (Achieved Specific Goal) with (Simple Tool) – Here’s How","+607","Desire – This creator’s audience would love to earn $3,995 a week. This title also uses the “a lot for a little” concept: earning $3,995/week is a lot, but “Basic Canva Clip Art” is a little. Curiosity – This title builds curiosity two ways: 1) There’s contrast between $3,995 and “Basic Canva Clip Art” (the “a lot for a little” concept builds both desire and curiosity). 2) It opens a loop because “Here’s How” invites you in and makes you want to know how."
"URGENT: Do Not File Your Tax Return Yet (wait until Jan. 29th)","URGENT: Do Not [Activity With Upcoming Deadline] Yet (wait until [Specific Date])","+625","Negativity – This title is a warning that works great to grab people’s attention and get them to click. Curiosity – This opens a loop and makes you wonder why you should wait until Jan. 29th. Timeliness – The timing of this video was perfect since it was published two weeks before the January 29th deadline and at a time when people start to think about filing taxes."
"Flying First Class to Every Continent in 7 days","(Fancy Activity) Every (Entity) in (Short Time Frame)","+702","Epic – This is a fancy, epic challenge. Desire – This creator’s audience would love to fly first class to every continent. Time Frame – “in 7 days” makes this video more tangible, challenging, and interesting."
"Apple Glasses Release Date and Price – FORGET VISION PRO! Wait for APPLE GLASSES!!","(Upcoming Trending Product) – FORGET (Currently Trending Product)! Wait for (Upcoming Trending Product)!!","+749","I don’t love “Apple Glasses Release Date and Price” in the beginning of this title — it feels like generic keyword stuffing to me. However, there are a few things I like: Curiosity – “Forget Vision Pro” is counterintuitive because the Vision Pro is the coolest thing out right now, should you really forget about it? Timeliness – This video is riding the wave of the Apple Vision Pro’s popular release. Desire – This creator’s audience loves cool tech like the Vision Pro and Apple Glasses."
"You have a B2 Level in French If You Know These Words – Advanced French Vocabulary","You Have A (Achievement Level) In (Niche) If You (Accomplishment)","+315","Curiosity – This title opens a loop because it makes you want to know what “These Words” are. It also issues a challenge that makes you want to know what level you are. Desire – People love learning about themselves and this title leverages that well here. It kinda feels like a smarter version of those “Which Hogwarts house would you be in?” quizzes that everybody loved."
"Best 3 Free Image Upscalers in 2024 + Comparison","Best 3 Free (Tools) In (Current Year)","+338","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience loves image upscalers and everybody loves free things. (Plus, free things attract a bigger audience.) Timeliness – This video was published on December 30th, when everybody was thinking about 2024."
"Using Apple Vision Pro: What It’s Actually Like!","Using (New Product): What It’s Actually Like!","+550","Curiosity – The contrast of ad vs. reality in the thumbnail is so good here and it makes you wonder what this crazy new product is actually like. Plus, the word “actually” makes you feel like you’re getting in on a secret. Timeliness – Everybody is currently talking about the Apple Vision Pro and this creator did a great job riding that wave. Desire – This creator’s audience loves new tech and this is right up their alley."
"It’s Begun! The Car Market CRASH of 2024","It’s Begun! The (Negative Event) of (Current Year)","+1788","Timeliness – “It’s Begun” makes this feel like something just started, and people love news like this. Also, dropping “2024” in the title with this being published in January of 2024 helps reinforce that feeling. Negativity – “The Car Market CRASH” brings drama and fear to this title."
"11 Money-Saving Household Tricks – Don’t throw these out!","11 (Precious Resource)-Saving (Niche) Tricks – (Warning)","+712","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience wants tricks to save money. Negativity – This title finishes off with a warning which makes people even more likely to click because they don’t want to accidentally throw something out that they shouldn’t. Curiosity – “Don’t throw these out!” builds opens a loop because you don’t know what “these” are."
"Seven Steps To Get In The Best Shape Of Your Life In 2024 | Mind Pump 2227","Seven Steps To (Achieve Big Goal) In (Upcoming Year)","+835","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience wants to get in the best shape of their life. Note that this video isn’t just about getting in great shape, but specifically “the best shape of your life”, which sounds so much cooler and tangible than just great shape. Timeliness – This video was published at the end of 2023 when 2024 was on everybody’s mind. The New Year is a time when people start to think about getting in shape the most, which also helped this video get so many views."
"My Lesson With Tiger Woods EX-Coach Is Going To BLOW YOUR MIND!","My Lesson With (Authority Figure’s) EX-Coach Is Going To Blow Your Mind!","+862","Authority – You automatically trust and desire the information in this video because it’s from the greatest golfer of all time’s old coach. Desire – This creator’s audience wants to get their mind blown with helpful golf tips. Curiosity – The thumbnail text opens a loop because it makes you wonder what he’s teaching him that’s so genius, so you have to click."
"If You Want To Know How a Man Feels About You, Try THIS!","If You Want To Know (Information), Try THIS!","+1177","Desire – This creator’s audience wants to know how men feel about them. Curiosity – “Try THIS” opens a loop because it makes you want to know what “THIS” is, so you have to click."
"Watching Her Paint Will Change How You See Art!","Watching Her (Activity) Will Change How You See (Entity)!","+433","Curiosity – This opens a loop because it makes you wonder what it is about how she paints that will make such an impact on you. Epic – “Change How You See Art” is so powerful because it’s epic and vague (which also adds to the curiosity)."
"Ranking the BEST Seed Companies in 2024? (#1 Shocked Me)","Ranking the BEST [Products or Product Providers] in 2024? (#1 Shocked Me)","+1096","Desire – People love rankings (and this creator’s audience loves s. Timeliness – This video uses “2024” in the title and was published in late December, right before the new year, when everybody was thinking about 2024. Curiosity – (#1 Shocked Me) builds curiosity because it makes you wonder what #1 is. I don’t love this type of curiosity building — it feels a bit forced and clickbaity, and reminds me of 2014 BuzzFeed articles — but I feel like I’ve been seeing this a bit more recently."
"Make in a Day Crochet Chunky Blanket ! So EASY","Make in a Day (Object) ! So EASY [Relevant Emojis]","+1192","I wouldn’t necessarily model this title exactly how it is because I don’t like how it’s worded (although “make in a day crochet” videos are popular in this niche), but there are two things we can learn from it that make this title so effective: Desire – This creator’s audience wants to learn how to make a chunky blanket and this desire is heightened even more because it’s “So EASY”. Time Frame – The time frame of “Make in a Day” makes this video feel more tangible and easy, and these two also increase the desire."
"Marcus Aurelius’ Advice if you’re tired of life","(Authority Figure)’s Advice if you’re (Experiencing a Problem)","+1929","Authority & Desire – This creator’s audience respects Marcus Aurelius and wants to hear his opinion. Negativity – This title calls out people in pain. If this was about “Marcus Aurelius’ Advice if you’re happy as a clam,” it probably wouldn’t do as well because those people wouldn’t be looking for help."
"The Bible Verse That Spiritually Throat-Punched Me.","The (Object) That (Drastic Action) Me.","+522","Negativity – “Throat-Punched” and the thumbnail text, “Contradicted Everything” brings some drama here. Plus, “throat-punched” is such visual language that it increases this dramatic feeling. Curiosity – This opens a loop and makes you wonder what this bible verse is. There’s also contrast between “bible verse” and “throat-punched me”, which builds even more curiosity."
"Photographers Who Got Caught Cheating","(Group of People) Who Got Caught Cheating","+527","Negativity – People love drama and this title promises a lot of it. Curiosity – The thumbnail makes you wonder what’s circled and what somebody did to cheat in this photo, so you’ve got to click to find out."
"7 Mistakes Beginners Make Camping in Cold/Winter Weather","7 Mistakes Beginners Make (Activity) in (Hard and/or Current Circumstances)","+577","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – This title leverages people’s fear of making mistakes. Plus, it’s about a difficult time to camp — “7 Mistakes Beginners Make Camping In Beautiful Weather” probably wouldn’t do as well. Beginners – Calling out beginners works so well because beginners are the biggest subset of any audience and they’re usually the most eager to learn. Timeliness – This video was published at the beginning of winter when camping in cold/winter weather was on everyone’s mind."
"STOP Throwing Away Aerosol Spray Cans With No AIR! How To Recharge, Save And Fix It! DIY","STOP (Common Thing)! How To (Achieve Goal)","+2153","Negativity – This title starts with a warning against doing something most people do. Curiosity – It’s counterintuitive to stop throwing away empty aerosol spray cans. They don’t have any air, so of course you should throw them away, right? Desire – This title finishes by helping the audience get something they want."
"90 Year Olds Share Advice for Their Younger Self","(Experienced People) Share Advice For Their (Past Selves)","+410","Curiosity – The thumbnail text builds curiosity because many people assume getting married is good, but this old guy says don’t do it, so it’s counterintuitive. Plus, he’s with a woman who you would assume is his wife, which builds even more curiosity. Negativity – The thumbnail text is a warning and people love warnings. Credibility – This has credibility because 90-year-olds have lots of life experience. Plus, sharing advice for their “younger selves”. Desire – Everybody loves to hear advice from old people to their younger selves."
"First 10 Things To Do – Samsung Galaxy ONE UI6 ( tips and tricks )","First 10 Things To Do – [New Product] ( tips and tricks )","+850","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience wants tips and tricks for their new Galaxy ONE. Beginners – Calling out the “first” things to do works so well because people who just got a new phone are excited to see all it can do."
"I Cooked 100 Years of School Lunch","I (Activity) 100 Years of (Object)","+2500","Curiosity – The contrast of the old and new lunches builds curiosity. Time Frame – 100 Years of lunches makes this video more tangible, and therefore, more interesting. Epic – 100 Years makes this video feel big and epic."
"Luxury Fashion Is For Broke People","(Extreme Thing) Is For (Opposite Extreme)","+40740","Curiosity – This title builds curiosity two ways: There’s contrast between “luxury fashion” and “broke people”.



It’s counterintuitive that luxury fashion is for broke people. Negativity – There’s a bit of drama and controversy here by saying luxury fashion is for broke people."
